final_classification,cbs_species_definition,primary_survey_type,taxonomic_id,taxonomic_source,kingdom,phylum,class,order,family,genus,species,rank,species_lump,species_lump_taxonomic_id
alia spp,alia spp,quadrat,512256,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Alia,NULL,1,Alia spp,512256
amphipholis squamata,amphipholis squamata,quadrat,125064,World Register of Marine Species:  www.marinespecies.org,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis,Amphipholis squamata,4,Ophiuroidea,123084
amphiroa beauvoisii,amphiroa beauvoisii,point contact,145097,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Corallinales,Lithophyllaceae,Amphiroa,Amphiroa beauvoisii,3,Amphiroa beauvoisii,145097
amphisbetia greenei,amphisbetia greenei,point contact,1358362,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Amphisbetia,Amphisbetia greenei,4,Abietinaria/Amphisbetia spp,1614
amphissa columbiana,amphissa columbiana,quadrat,511361,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Amphissa,Amphissa columbiana,2,Amphissa columbiana,511361
amphissa spp,amphissa spp,NA,137801,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Amphissa,NULL,5,Amphissa spp,137801
amphissa versicolor,amphissa versicolor,quadrat,511364,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Amphissa,Amphissa versicolor,2,Amphissa versicolor,511364
analipus japonicus,analipus japonicus,point contact,371891,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Ralfsiales,Ralfsiaceae,Analipus,Analipus japonicus,1,Analipus japonicus,371891
anisocladella pacifica,anisocladella pacifica,point contact,373900,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Anisocladella,Anisocladella pacifica,3,Anisocladella pacifica,373900
anthopleura artemisia,anthopleura artemisia,point contact,283337,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Anthopleura,Anthopleura artemisia,3,Anthopleura artemisia,283337
