final_classification,cbs_species_definition,primary_survey_type,taxonomic_id,taxonomic_source,kingdom,phylum,class,order,family,genus,species,rank,species_lump,species_lump_taxonomic_id
dasya binghamiae,dasya binghamiae,point contact,375784,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Dasya,Dasya binghamiae,3,Dasya binghamiae,375784
dasya sinicola; dasya californica,dasya sinicola; dasya californica,point contact,143870,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Dasya,NULL,4,Dasya sinicola/californica,143870
dasya spp,dasya spp,point contact,143870,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Dasya,NULL,5,DROP,NA
dasysiphonia japonica,dasysiphonia japonica,point contact,836896,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Dasysiphonia,Dasysiphonia japonica,3,Dasysiphonia japonica,836896
dead balanus crenatus,dead balanus crenatus,point contact,106215,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,Balanus crenatus,3,Balanus crenatus,106215
dead balanus glandula,NULL,point contact,394848,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus glandula,Balanus glandula,4,Balanus glandula,394848
dead chthamalus dalli,dead chthamalus dalli,point contact,423276,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,Chthamalus dalli,4,Chthamalus dalli/fissus,106126
dead mytilus californianus,NULL,point contact,367837,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus californianus,Mytilus californianus,4,Mytilus californianus,367837
dead mytilus trossulus; galloprovincialis; edulis,dead mytilus trossulus; galloprovincialis; edulis,point contact,138228,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,NULL,1,Mytilus trossulus/galloprovincialis/edulis,138228
dead semibalanus cariosus,dead semibalanus cariosus,point contact,594746,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Semibalanus,Semibalanus cariosus,1,Semibalanus cariosus,594746
deeppool,the species was in a deep channel or pool and could not be determined,point contact,NULL,MARINe researchers: pacificrockyintertidal.org,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,DROP,NA
dendrobeania laxa,dendrobeania laxa,point contact,469233,World Register of Marine Species:  www.marinespecies.org,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Dendrobeania,Dendrobeania laxa,4,Dendrobeania laxa,469233
dendrobeania lichenoides,dendrobeania lichenoides,point contact,469234,World Register of Marine Species:  www.marinespecies.org,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Dendrobeania,Dendrobeania lichenoides,3,Dendrobeania lichenoides,469234
dendrochiton flectens,dendrochiton flectens,quadrat,817214,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Dendrochiton,Dendrochiton flectens,3,Dendrochiton flectens,817214
dendronotus subramosus,dendronotus subramosus,quadrat,548244,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Dendronotidae,Dendronotus,Dendronotus subramosus,3,Dendronotus subramosus,548244
dendropoma lituella,dendropoma lituella,point contact,575677,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Littorinimorpha,Vermetidae,Dendropoma,Dendropoma lituella,3,Dendropoma lituella,575677
dendropoma spp,dendropoma spp,NA,138649,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Littorinimorpha,Vermetidae,Dendropoma,NULL,5,Dendropoma spp,138649
dendropoma spp; petaloconchus spp,dendropoma spp; petaloconchus spp,NA,23139,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Littorinimorpha,Vermetidae,NULL,NULL,5,Dendropoma/Petaloconchus spp,23139
derbesia marina,derbesia marina,point contact,144462,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Chlorophyta,Ulvophyceae,Bryopsidales,Derbesiaceae,Derbesia,Derbesia marina,3,Derbesia marina,144462
dermasterias imbricata,dermasterias imbricata,swath,240771,World Register of Marine Species:  www.marinespecies.org,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,Dermasterias imbricata,3,Dermasterias imbricata,240771
desmarestia aculeata,desmarestia aculeata,point contact,145307,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,Desmarestia,Desmarestia aculeata,4,Desmarestia aculeata,145307
desmarestia herbacea,desmarestia munda,point contact,239201,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,Desmarestia,Desmarestia herbacea,4,Desmarestia herbacea,239201
desmarestia ligulata,desmarestia ligulata,point contact,145309,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,Desmarestia,Desmarestia ligulata,3,Desmarestia ligulata,145309
diadumene lineata,diadumene lineata,point contact,395099,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Hexacorallia,Actiniaria,Diadumenidae,Diadumene,Diadumene lineata,3,Diadumene lineata,395099
diaperoforma californica,diaperoecia californica,point contact,472584,World Register of Marine Species:  www.marinespecies.org,Animalia,Bryozoa,Stenolaemata,Cyclostomatida,NULL,Diaperoforma,Diaperoforma californica,3,Diaperoforma californica,472584
diaphoreolis lagunae,diaphoreolis lagunae,quadrat,1037020,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Trinchesiidae,Diaphoreolis,Diaphoreolis lagunae,3,Diaphoreolis lagunae,1037020
diatoms,diatoms,point contact,148899,World Register of Marine Species:  www.marinespecies.org,Chromista,Heterokontophyta,Bacillariophyceae,NULL,NULL,NULL,NULL,1,Diatom,148899
diaulula sandiegensis,diaulula sandiegensis,quadrat,536817,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Discodorididae,Diaulula,Diaulula sandiegensis,3,Diaulula sandiegensis,536817
dictyoneurum californicum,dictyoneurum californicum,point contact,372515,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Agaraceae,Dictyoneurum,Dictyoneurum californicum,3,Dictyoneurum californicum,372515
dictyopteris spp,dictyopteris spp,NA,144085,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyopteris,NULL,5,Dictyopteris spp,144085
dictyopteris undulata,dictyopteris undulata,point contact,372001,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyopteris,Dictyopteris undulata,3,Dictyopteris undulata,372001
dictyota binghamiae,dictyota binghamiae,point contact,372003,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyota,Dictyota binghamiae,4,Dictyota spp,144086
dictyota coriacea,dictyota coriacea,point contact,377138,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyota,Dictyota coriacea,2,Dictyota coriacea,377138
dictyota flabellata,dictyota flabellata,point contact,372004,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyota,Dictyota flabellata,3,Dictyota flabellata,372004
dictyota spp,dictyota spp,NA,144086,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyota,NULL,5,Dictyota spp,144086
didemnum carnulentum,didemnum carnulentum,point contact,250480,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,Didemnum carnulentum,4,Didemnum carnulentum,250480
didemnum spp,didemnum spp,NA,103456,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,NULL,5,Didemnum spp,103456
didemnum vexillum,didemnum vexillum,point contact,250126,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,Didemnum vexillum,3,Didemnum vexillum,250126
dilsea californica,dilsea californica,point contact,372565,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Dilsea,Dilsea californica,1,Dilsea californica,372565
diodora aspera,diodora aspera,quadrat,367955,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Diodora,Diodora aspera,2,Diodora aspera,367955
diopatra ornata,diopatra ornata,point contact,326964,World Register of Marine Species:  www.marinespecies.org,Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra,Diopatra ornata,4,Diopatra ornata,326964
diplopetalopora punctata,diaperoecia punctulata,point contact,1372546,World Register of Marine Species:  www.marinespecies.org,Animalia,Bryozoa,Stenolaemata,Cyclostomatida,Crisinidae,Diplopetalopora,Diplopetalopora punctata,4,Diplopetalopora punctata,1372546
dirona albolineata,dirona albolineata,quadrat,581837,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Dironidae,Dirona,Dirona albolineata,3,Dirona albolineata,581837
dirona picta,dirona picta,quadrat,558927,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Dironidae,Dirona,Dirona picta,4,Dirona picta,558927
discurria insessa,discurria insessa,quadrat,456584,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Discurria,Discurria insessa,2,Discurria insessa,456584
distaplia occidentalis,distaplia occidentalis,point contact,250152,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Ascidiacea,Aplousobranchia,Holozoidae,Distaplia,Distaplia occidentalis,3,Distaplia occidentalis,250152
distaplia smithi,distaplia smithi,point contact,250160,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Ascidiacea,Aplousobranchia,Holozoidae,Distaplia,Distaplia smithi,4,Distaplia smithi,250160
distaplia spp,distaplia spp,NA,103464,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Ascidiacea,Aplousobranchia,Holozoidae,Distaplia,NULL,5,Distaplia spp,103464
distaplia stylifera,distaplia stylifera,point contact,236661,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Ascidiacea,Aplousobranchia,Holozoidae,Distaplia,Distaplia stylifera,3,Distaplia stylifera,236661
dodecaceria concharum,dodecaceria concharum,point contact,129967,World Register of Marine Species:  www.marinespecies.org,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,Dodecaceria concharum,4,Dodecaceria spp,129246
dodecaceria spp,dodecaceria spp,point contact,129246,World Register of Marine Species:  www.marinespecies.org,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,NULL,1,Dodecaceria spp,129246
dorididae,dorididae,NA,9904,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Dorididae,NULL,NULL,5,Dorididae,9904
doriopsilla albopunctata,doriopsilla albopunctata,quadrat,537019,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Dendrodorididae,Doriopsilla,Doriopsilla albopunctata,4,Doriopsilla albopunctata,537019
doris montereyensis,archidoris montereyensis,quadrat,581816,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Dorididae,Doris,Doris montereyensis,3,Doris montereyensis,581816
doris odhneri,doris odhneri,quadrat,581817,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Dorididae,Doris,Doris odhneri,4,Doris odhneri,581817
drop,this observation has been dropped because the final classification is not specific enough to be used for analysis,NA,NULL,MARINe researchers: pacificrockyintertidal.org,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,DROP,NA
dynamenella glabra,dynamenella glabra,point contact,1673497,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Dynamenella,Dynamenella glabra,3,Dynamenella glabra,1673497
dysidea fragilis,dysidea fragilis,point contact,132324,World Register of Marine Species:  www.marinespecies.org,Animalia,Porifera,Demospongiae,Dictyoceratida,Dysideidae,Dysidea,Dysidea fragilis,4,Dysidea fragilis,132324
echinaster spp,echinaster spp,swath,123275,World Register of Marine Species:  www.marinespecies.org,Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Echinaster,NULL,4,Echinaster spp,123275
ectocarpus spp,ectocarpus spp,point contact,144099,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,Ectocarpus,NULL,3,Ectocarpus spp,144099
ectopleura marina,tubularia marina,point contact,285957,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Tubulariidae,Ectopleura,Ectopleura marina,4,Ectopleura marina,285957
egg cases,egg cases,NA,NULL,MARINe researchers: pacificrockyintertidal.org,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,DROP,NA
egregia menziesii,egregia menziesii,point contact,372502,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,Egregia menziesii,1,Egregia menziesii,372502
eisenia arborea,eisenia arborea,point contact,371990,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Eisenia,Eisenia arborea,1,Eisenia arborea,371990
emplectonema gracile,emplectonema gracile,NA,122710,World Register of Marine Species:  www.marinespecies.org,Animalia,Nemertea,Hoplonemertea,Monostilifera,Emplectonematidae,Emplectonema,Emplectonema gracile,4,Emplectonema gracile,122710
encephalophycus tuberculatus,colpomenia tuberculata,point contact,1652952,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Encephalophycus,Encephalophycus tuberculatus,3,Encephalophycus tuberculatus,1652952
endarachne spp; petalonia spp; phaeostrophion spp,endarachne spp; petalonia spp; phaeostrophion spp,point contact,830,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,NULL,NULL,NULL,NULL,1,Endarachne/Petalonia/Phaeostrophion spp,830
endocladia muricata,endocladia muricata,point contact,372566,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Endocladiaceae,Endocladia,Endocladia muricata,1,Endocladia muricata,372566
endoplura aurea,endoplura aurea,point contact,371893,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Ralfsiales,Ralfsiaceae,Endoplura,Endoplura aurea,3,Endoplura aurea,371893
epiactis prolifera,epiactis prolifera,point contact,283435,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Epiactis,Epiactis prolifera,3,Epiactis prolifera,283435
epiactis ritteri,epiactis ritteri,point contact,283436,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Epiactis,Epiactis ritteri,4,Epiactis ritteri,283436
epiactis spp,epiactis spp,NA,100703,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Epiactis,NULL,5,Epiactis spp,100703
epialtoides hiltoni,epialtoides hiltoni,quadrat,441432,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Epialtoides,Epialtoides hiltoni,4,Epialtoides hiltoni,441432
epitonium tinctum,epitonium tinctum,quadrat,524008,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Caenogastropoda incertae,Epitoniidae,Epitonium,Epitonium tinctum,2,Epitonium tinctum,524008
erythroglossum californicum,anisocladella pacifica,point contact,372567,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Erythroglossum,Erythroglossum californicum,3,Erythroglossum californicum,372567
erythrophyllum delesserioides,erythrophyllum delesserioides,point contact,372568,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Erythrophyllum,Erythrophyllum delesserioides,2,Erythrophyllum delesserioides,372568
eudendrium californicum,eudendrium californicum,point contact,284654,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Eudendriidae,Eudendrium,Eudendrium californicum,3,Eudendrium californicum,284654
eudendrium spp,eudendrium spp,NA,117093,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Eudendriidae,Eudendrium,NULL,5,Eudendrium spp,117093
eudistoma diaphanes,archidistoma diaphanes,point contact,250207,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polycitoridae,Eudistoma,Eudistoma diaphanes,4,Eudistoma diaphanes,250207
eudistoma psammion,eudistoma psammion,point contact,250242,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polycitoridae,Eudistoma,Eudistoma psammion,3,Eudistoma psammion,250242
eudistoma ritteri,eudistoma ritteri,point contact,250250,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polycitoridae,Eudistoma,Eudistoma ritteri,3,Eudistoma ritteri,250250
eudistylia polymorpha; eudistylia vancouveri,eudistylia polymorpha,point contact,325075,World Register of Marine Species:  www.marinespecies.org,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Eudistylia,NULL,3,Eudistylia polymorpha/vancouveri,325075
eugorgia rubens,eugorgia rubens,point contact,289935,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Octocorallia,Malacalcyonacea,Gorgoniidae,Eugorgia,Eugorgia rubens,4,Eugorgia rubens,289935
euherdmania claviformis,euherdmania claviformis,point contact,250653,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Ascidiacea,Aplousobranchia,Euherdmaniidae,Euherdmania,Euherdmania claviformis,4,Euherdmania claviformis,250653
eulithidium pulloides,eulithidium pulloides,quadrat,767148,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Phasianellidae,Eulithidium,Eulithidium pulloides,4,Eulithidium pulloides,767148
eupentacta quinquesemita; eupentacta pseudoquinquesemita,eupentacta quinquesemita; eupentacta pseudoquinquesemita,quadrat,528610,World Register of Marine Species:  www.marinespecies.org,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Eupentacta,NULL,3,Eupentacta spp,528610
eupentacta spp,eupentacta spp,quadrat,528610,World Register of Marine Species:  www.marinespecies.org,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Eupentacta,NULL,4,Eupentacta spp,528610
eutrichosiphonia paniculata,eutrichosiphonia paniculata,point contact,1660526,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Eutrichosiphonia,Eutrichosiphonia paniculata,4,Polysiphonia/Eutrichosiphonia/Leptosiphonia/Vertebrata spp,143674
evasterias troschelii,evasterias troschelii,swath,255040,World Register of Marine Species:  www.marinespecies.org,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Evasterias,Evasterias troschelii,3,Evasterias troschelii,255040
farlowia compressa,farlowia compressa,point contact,372720,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Farlowia,Farlowia compressa,3,Farlowia/Pikea spp,143695
farlowia mollis,farlowia mollis,point contact,372571,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Farlowia,Farlowia mollis,3,Farlowia/Pikea spp,143695
farlowia spp; pikea spp,farlowia spp; pikea spp,point contact,143695,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,NULL,NULL,2,Farlowia/Pikea spp,143695
feldmannia simplex,feldmannia cylindrica,point contact,145421,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Acinetosporaceae,Feldmannia,Feldmannia simplex,4,Feldmannia spp,144100
feldmannia spp,feldmannia spp,point contact,144100,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Acinetosporaceae,Feldmannia,NULL,5,Feldmannia spp,144100
fissurella rubropicta,fissurella rubropicta,quadrat,575124,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Fissurella,Fissurella rubropicta,4,Fissurella rubropicta,575124
fissurella spp,fissurella spp,NA,138013,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Fissurella,NULL,5,Fissurella spp,138013
fissurella volcano,fissurella volcano,quadrat,527881,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Fissurella,Fissurella volcano,1,Fissurella volcano,527881
fissurellidea bimaculata,fissurellidea bimaculata,quadrat,527882,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Fissurellidea,Fissurellidea bimaculata,3,Fissurellidea bimaculata,527882
flabellinopsis iodinea,flabellinopsis iodinea,quadrat,1047483,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Flabellinopsidae,Flabellinopsis,Flabellinopsis iodinea,4,Flabellinopsis iodinea,1047483
flatworm,flatworm,NA,793,World Register of Marine Species:  www.marinespecies.org,Animalia,Platyhelminthes,NULL,NULL,NULL,NULL,NULL,5,Flatworm,793
flustrellidra corniculata,flustrellidra corniculata,point contact,111620,World Register of Marine Species:  www.marinespecies.org,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Flustrellidridae,Flustrellidra,Flustrellidra corniculata,3,Flustrellidra corniculata,111620
fredericqia chiton,fredericqia chiton,point contact,839665,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Fredericqia,Fredericqia chiton,3,Fredericqia chiton,839665
fucaceae,fucaceae,NA,143723,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,NULL,NULL,5,Fucaceae,143723
fucus spiralis,fucus spiralis,point contact,145547,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Fucus,Fucus spiralis,4,Fucus spp,144129
fucus spp,fucus spp,point contact,144129,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Fucus,NULL,1,Fucus spp,144129
gastroclonium parvum,gastroclonium parvum,point contact,373020,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Rhodymeniales,Champiaceae,Gastroclonium,Gastroclonium parvum,2,Gastroclonium parvum,373020
gastroclonium spp; neogastroclonium spp,gastroclonium spp; neogastroclonium spp,point contact,144239,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Rhodymeniales,Champiaceae,Gastroclonium,NULL,5,DROP,NA
geitodoris heathi,geitodoris heathi,quadrat,579047,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Discodorididae,Geitodoris,Geitodoris heathi,4,Geitodoris heathi,579047
gelidiaceae,gelidiaceae,point contact,143726,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,NULL,NULL,5,DROP,NA
gelidiales,gelidiales,point contact,146315,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gelidiales,NULL,NULL,NULL,5,DROP,NA
gelidium coulteri,gelidium coulteri,point contact,372573,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidium,Gelidium coulteri,1,Gelidium spp,144135
gelidium purpurascens,gelidium purpurascens,point contact,372126,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidium,Gelidium purpurascens,2,Gelidium purpurascens,372126
gelidium robustum,gelidium robustum,point contact,372718,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidium,Gelidium robustum,2,Gelidium robustum,372718
gelidium spp,gelidium spp,point contact,144135,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidium,NULL,5,Gelidium spp,144135
gemophos gemmatus,gemophos gemmatus,quadrat,491011,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Pisaniidae,Gemophos,Gemophos gemmatus,4,Gemophos gemmatus,491011
gersemia rubiformis,gersemia rubiformis,point contact,156103,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Octocorallia,Malacalcyonacea,Alcyoniidae,Gersemia,Gersemia rubiformis,4,Gersemia rubiformis,156103
gigahomalopoma luridum,gigahomalopoma luridum,quadrat,1644378,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Colloniidae,Gigahomalopoma,Gigahomalopoma luridum,4,Homalopoma spp/Gigahomalopoma luridum,382202
girella nigricans,girella nigricans,NA,280865,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Teleostei,Centrarchiformes,Kyphosidae,Girella,Girella nigricans,5,DROP,NA
glans carpenteri,glans carpenteri,point contact,504908,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Bivalvia,Carditida,Carditidae,Glans,Glans carpenteri,4,Glans carpenteri,504908
glebocarcinus oregonensis,cancer oregonensis,quadrat,440384,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Glebocarcinus,Glebocarcinus oregonensis,3,Glebocarcinus oregonensis,440384
gloiocladia laciniata,fauchea laciniata,point contact,503894,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Rhodymeniales,Faucheaceae,Gloiocladia,Gloiocladia laciniata,3,Gloiocladia laciniata,503894
gloiopeltis furcata,gloiopeltis furcata,point contact,372181,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Endocladiaceae,Gloiopeltis,Gloiopeltis furcata,2,Gloiopeltis furcata,372181
